condition,mean_travel_time_s,std_travel_time_s,mean_waiting_time_s,p95_waiting_time_s,n_trips,n_seeds
scale_0,295.70546749059645,22.748765188297057,118.99650725416441,412.7299999999999,14888.0,5
scale_0.5,279.9459296077378,15.734807961308446,107.61826974744763,381.6,14888.0,5
scale_1,315.82462385814085,31.538715129847432,134.48592154755505,496.85999999999984,14888.0,5
scale_2,302.67462385814076,30.58697877242117,124.43684846856529,447.05999999999983,14888.0,5
dropout_approach0,321.8221789360559,36.86239169743482,141.24337721655021,474.12999999999994,14888.0,5
delay_1step,294.4965541181749,40.22113511653102,120.18758168708523,413.2699999999997,14829.2,5
