global_step,episode,episode_length,mean_reward,queue_total_proxy,co2_total_mg,fuel_total_ml,throughput,avg_waiting_proxy
68040,63,1080,-43.69066193290099,30866.0,172731009.8179494,55865700.847232856,553.0,116.5706850378335
69120,64,1080,-46.040935612087914,35868.0,184379100.06101313,59641002.84644662,531.0,130.52001992866806
70200,65,1080,-44.188873228310236,31972.0,171154097.31856522,55362111.49072774,553.0,118.43006350499194
71280,66,1080,-50.17096962781278,39118.0,186692149.5030561,60395477.71162024,546.0,138.15978517693733
72360,67,1080,-40.71005884728492,26242.0,159618603.0515294,51629211.253046624,570.0,98.6089301547156
73440,68,1080,-45.558418803985674,30188.0,171028667.45120344,55316706.55835687,544.0,115.99445595266366
74520,69,1080,-43.58133674807077,30006.0,168203457.9530493,54406878.387089446,578.0,111.3342596771507
75600,70,1080,-40.534477029379374,26128.0,160338537.5747182,51859525.968836136,565.0,96.83500950838116
76680,71,1080,-48.21121437668633,36184.0,181939001.9381976,58859367.60585097,545.0,126.76328476304164
77760,72,1080,-49.375318284433696,37436.0,186396182.15161,60293727.322934166,585.0,134.6679123608012
78840,73,1080,-40.765169856430084,25008.0,158869111.8246301,51382363.2035193,574.0,92.02513481336605
79920,74,1080,-41.79179681131265,27014.0,163470094.16066027,52870797.79351614,555.0,98.63978848128968
81000,75,1080,-42.231171649803116,25940.0,163604550.74451697,52914734.37358065,572.0,98.32658992805676
82080,76,1080,-47.64703200613501,33560.0,178749690.04486567,57818183.589199,545.0,118.77203237557748
83160,77,1080,-46.63812429443327,32082.0,172189158.3847741,55696176.07111061,556.0,119.673401326557
84240,78,1080,-40.75221948813475,25488.0,157171560.88512665,50842086.319164306,556.0,93.58319248230485
85320,79,1080,-41.54192389790803,25894.0,159209538.36450508,51494638.9411178,577.0,97.35965517279013
86400,80,1080,-43.22103714953023,26718.0,163726023.74269223,52953597.373560145,561.0,100.4415157298092
87480,81,1080,-65.71392016770068,54040.0,224728505.27952594,72704860.44960997,559.0,193.45374545363865
88560,82,1080,-47.731833869917494,33070.0,175249596.56688198,56685439.74054137,559.0,123.21616834662325
89640,83,1080,-61.07386020526843,49972.0,213845959.2687104,69178541.98880352,559.0,178.83285437292713
90720,84,1080,-57.265171416271876,41970.0,197713498.19027746,63946011.98083391,531.0,161.35992374004582
91800,85,1080,-41.581933015264966,27212.0,163063027.56792217,52742465.558117494,554.0,102.02078540961249
92880,86,1080,-44.47518494224893,29442.0,168511006.7312571,54502087.82336187,570.0,113.11187373310693
93960,87,1080,-43.052751414290356,27568.0,163477700.42274892,52877634.706390165,553.0,103.77869794327434
95040,88,1080,-50.61364140080373,36164.0,185122395.36827517,59877371.35327532,566.0,137.49651413879502
96120,89,1080,-43.39478662114381,27724.0,165523297.5997962,53539671.68765519,562.0,105.10287101644045
97200,90,1080,-44.20557069436285,28880.0,165224163.51497105,53442346.807613425,553.0,108.51142768126097
98280,91,1080,-47.457213226497956,31232.0,172684849.55603817,55849265.18648563,539.0,118.98154808223615
99360,92,1080,-50.701970516774146,36838.0,180690345.47686645,58452647.091180675,540.0,134.51792128100317
100440,93,1080,-41.54999221063108,27088.0,159701307.1735739,51667188.69688641,562.0,100.86517413106651
101520,94,1080,-50.11878378153979,37730.0,187206384.09022242,60555180.31856111,582.0,136.07517740818147
102600,95,1080,-50.10973484558457,35070.0,178811779.7523484,57843367.75938939,535.0,130.59084603162705
103680,96,1080,-42.58953619848152,26686.0,162591074.44543928,52587221.058525495,553.0,101.91085000976624
104760,97,1080,-45.93236058379338,28990.0,170057497.51216015,55000472.762906544,565.0,112.61569052321701
105840,98,1080,-47.16968708000199,32108.0,178033611.17034602,57581660.89056787,566.0,121.68085207847533
106920,99,1080,-40.819694486620335,26080.0,161493709.60002562,52234740.99619166,582.0,97.81402306375459
108000,100,1080,-40.04917747047416,25798.0,157410697.10149947,50920148.90077092,562.0,93.87553977238937
109080,101,1080,-41.758008499656796,27524.0,161340826.0542389,52187477.86441059,548.0,103.02088564255007
110160,102,1080,-50.226304396114614,38718.0,186924262.12947923,60469970.90831866,557.0,136.9862396497183
111240,103,1080,-43.48312133413576,28406.0,168587661.1757322,54528209.54055789,547.0,105.56808986039691
112320,104,1080,-42.09860685694177,27434.0,164033969.47152933,53063292.745114364,569.0,99.18027215821117
113400,105,1080,-47.12252370266587,32438.0,174570878.94487795,56472052.95085692,562.0,121.06158749771438
114480,106,1080,-45.88791577407282,31586.0,171002248.3679789,55311119.377009414,592.0,117.87392046236465
115560,107,1080,-42.47904855317276,27082.0,159010885.89301822,51434291.20480168,509.0,99.23349398057265
116640,108,1080,-41.90779964462068,27880.0,163651017.20069945,52933089.3650617,570.0,104.20948508340894
117720,109,1080,-44.814060228681015,31528.0,172533026.65734342,55808424.29397508,558.0,115.54476003041782
118800,110,1080,-48.061560229080705,34756.0,179248190.32781148,57982717.38210438,528.0,124.19295900669502
119880,111,1080,-52.82723115908915,40938.0,196540192.36915705,63577275.76472054,582.0,147.97000143801083
120960,112,1080,-45.89190540565337,33098.0,173539928.67866996,56135548.32718541,553.0,121.86604706623835
122040,113,1080,-47.743354051852855,38578.0,181132373.7131237,58606904.39060532,583.0,135.95880925779173
123120,114,1080,-39.16375441904755,27794.0,156337460.12754565,50583901.31404695,590.0,100.34785166330829
124200,115,1080,-45.555476521717125,33554.0,174431640.66907763,56421874.898015924,583.0,122.92778327513479
125280,116,1080,-52.65344353486991,42108.0,196599836.28287724,63597490.68576019,574.0,153.22813990707922
126360,117,1080,-42.17827177505721,29400.0,170997648.32289615,55305112.04988675,561.0,108.91133894486264
127440,118,1080,-46.62575845958877,34802.0,177204119.03712755,57325062.34280247,544.0,127.22719691595258
128520,119,1080,-43.54993393380276,30766.0,167440634.54404116,54165651.031089365,548.0,113.63186158110622
129600,120,1080,-43.51306630293463,30650.0,174542253.53919473,56450379.054771386,566.0,112.84198015518047
130680,121,1080,-47.69206263782558,35942.0,182042575.52726305,58882465.70776777,566.0,131.2794029196308
131760,122,1080,-40.80654814455439,26542.0,157100336.77211416,50819567.887453996,559.0,98.03378112534588
132840,123,1080,-47.82151489741057,35858.0,182762532.45570326,59121042.50025936,563.0,127.54730580191752
133920,124,1080,-41.13298746586622,28574.0,167020883.2555698,54022155.35151712,595.0,101.8923311957497
135000,125,1080,-56.33972745641268,43328.0,195874484.5024662,63371337.07179695,519.0,152.25592628833303
136080,126,1080,-47.91738793918769,34728.0,183530316.0975694,59367504.41174951,542.0,119.77426410445122
137160,127,1080,-40.765840313943116,25742.0,160705416.24128702,51978069.78687073,567.0,92.74467597322003
138240,128,1080,-46.784110672049174,33934.0,177506764.18757936,57420658.5733327,563.0,122.78082491150509
139320,129,1080,-60.61015858762564,48716.0,212983530.12666857,68903368.95928907,548.0,174.28745015381276
140400,130,1080,-49.17230727682858,37558.0,185309857.67152482,59947555.20780535,559.0,130.73461955227137
141480,131,1080,-48.022760928672504,32956.0,176189436.33576295,56995113.33150986,541.0,119.56276387724736
142560,132,1080,-47.614572524703405,31720.0,175261120.55871615,56683936.35395623,557.0,121.8215651727197
143640,133,1080,-46.25544205135206,31164.0,174725567.1537047,56516225.38645529,555.0,113.64797224424075
144720,134,1080,-46.48122372326314,32436.0,175906879.45413402,56900404.54510588,548.0,115.51344450512856
145800,135,1080,-58.26232977564814,44516.0,206732278.99585015,66876937.46857633,562.0,159.44486915628084
146880,136,1080,-46.024753632854306,29050.0,170941219.36669824,55287474.76725413,584.0,109.96285901726736
147960,137,1080,-40.39812976090782,23788.0,154088800.7161263,49843369.36803831,544.0,87.49594352436681
149040,138,1080,-44.16443606801792,28038.0,163762612.7160679,52967215.34094628,552.0,106.97153938426658
150120,139,1080,-49.16751808935961,34018.0,179337076.86706087,58007550.07555218,542.0,124.00303043745515
151200,140,1080,-41.40177835139818,25246.0,160532145.52517918,51915316.31063953,566.0,92.717546186352
152280,141,1080,-62.072840568563926,50172.0,207716662.58718887,67201726.91044474,542.0,183.04387346997078
153360,142,1080,-44.45420624514554,30370.0,170356001.0434009,55110308.36073166,562.0,106.2106963958098
154440,143,1080,-42.53010487758943,26616.0,163491152.73232672,52875431.44520513,557.0,97.37811445562004
155520,144,1080,-41.227772138002635,24656.0,157974000.6447698,51100253.29453824,547.0,87.93868942504781
156600,145,1080,-48.418240029771596,33876.0,177759376.78816688,57501769.214893624,575.0,124.50089457824863
157680,146,1080,-49.69831976518985,37354.0,186908584.01301828,60454653.135338694,591.0,131.25434024942436
158760,147,1080,-42.13274365724051,25464.0,159619757.02839702,51620025.31808226,536.0,94.69621627801915
159840,148,1080,-42.55371532070478,27584.0,165865235.51108766,53650859.21504274,578.0,99.40323219752197
160920,149,1080,-65.893631320872,55286.0,225740605.69931355,73041020.73617221,549.0,193.5165704576021
162000,150,1080,-47.65684143682607,35558.0,176614670.47167584,57143110.85075971,577.0,125.09693644636448
163080,151,1080,-42.456166341318976,30668.0,166972068.6403588,54014638.54379574,573.0,109.82710001884455
164160,152,1080,-41.71075170753211,30648.0,164638190.856122,53261643.724718735,553.0,104.91233146215544
165240,153,1080,-40.51307074502823,28026.0,161667578.7820303,52296827.627929375,578.0,101.24803941107521
166320,154,1080,-41.21903168122779,28444.0,163375691.67166474,52851460.44951245,592.0,103.46976228353218
167400,155,1080,-41.31635509397054,27686.0,161204963.2506719,52142896.104072005,573.0,102.4032685661511
168480,156,1080,-43.4819621387353,29550.0,165389533.68333718,53501242.15866504,549.0,108.3472184626395
169560,157,1080,-47.33186964242197,34358.0,175486902.52374908,56770912.26772636,534.0,125.80964524820772
170640,158,1080,-44.799460120175866,31210.0,171570891.46814454,55491646.370794274,561.0,113.56766571582081
171720,159,1080,-48.646419094836475,36604.0,181785531.42520505,58802548.55395607,571.0,135.0145183736487
172800,160,1080,-43.975548134543516,30402.0,171052612.48720646,55326864.405046955,566.0,111.42974038514421
173880,161,1080,-42.68723556592114,27868.0,165757710.45884654,53610896.25334199,563.0,102.40005740709242
174960,162,1080,-44.08211184466012,31550.0,172922194.8116579,55937735.57413729,564.0,108.23869264358683
176040,163,1080,-47.021713789016275,32884.0,175256463.98079738,56690376.222546294,570.0,117.39238825396612
177120,164,1080,-39.999569998547656,24508.0,154433573.49518833,49958523.95781156,565.0,87.26938204622279
178200,165,1080,-42.153032697186354,26500.0,162947064.7471263,52704658.60125462,567.0,95.26651966007329
179280,166,1080,-47.21490912835965,35398.0,183356799.6463593,59308607.70464221,593.0,122.44103739083582
180360,167,1080,-41.00607968442869,25926.0,160580575.1575983,51937885.34737739,569.0,92.02355058508131
181440,168,1080,-49.18959334840354,33990.0,182221572.7950701,58938743.38716447,555.0,123.04718391667267
182520,169,1080,-40.57245276838053,24980.0,161457531.17709482,52217854.06961907,587.0,91.52267529434505
183600,170,1080,-40.98430347129094,24636.0,158274412.61386982,51193089.581023335,535.0,87.60815584704315
184680,171,1080,-39.80372183694203,25510.0,158474828.77996147,51259065.296266444,591.0,90.03178256813761
185760,172,1080,-45.615646892705925,32354.0,175268479.14686316,56694070.17709827,579.0,113.7928923589804
186840,173,1080,-44.0874708393371,30348.0,168049903.08782446,54358662.190690644,557.0,106.221308532656
187920,174,1080,-48.23245262545127,35840.0,185630822.44676015,60049506.27958115,564.0,125.11457691739854
189000,175,1080,-41.03492346499131,25390.0,157397481.31458157,50912003.19266639,524.0,92.59466778228548
190080,176,1080,-42.33276130772677,26732.0,164538090.24445885,53219873.810960464,547.0,96.31590249831999
191160,177,1080,-44.812165504350105,28302.0,169219098.6562399,54728355.656307705,527.0,102.31526484067965
192240,178,1080,-48.416364383131835,34054.0,180371705.2188953,58347759.1218733,570.0,120.72198255319766
193320,179,1080,-44.28797198816222,30094.0,169270344.78344107,54751496.48143153,575.0,110.947619521033
194400,180,1080,-47.690771486569915,33218.0,176536010.54906172,57103241.37639484,534.0,118.01742446167124
195480,181,1080,-45.44433425253925,31884.0,173588521.29572487,56147901.35874369,577.0,114.1275911303186
196560,182,1080,-41.34467671833063,25480.0,158484063.2875256,51261732.8838701,554.0,89.67813978677485
197640,183,1080,-39.51451563941742,23362.0,155161622.6550709,50190351.84723455,576.0,81.23695013182488
198720,184,1080,-48.562937818880165,35546.0,178672976.54264066,57806283.91027976,559.0,122.37742132411465
199800,185,1080,-40.285810062615,26466.0,162878342.12110323,52682138.20935236,562.0,94.13180714164827
200880,186,1080,-46.93957670682756,32784.0,173305238.8761082,56065900.52132023,563.0,112.4226506881953
201960,187,1080,-43.79931630215054,30842.0,166526997.248652,53881629.51424954,579.0,104.72211914079679
203040,188,1080,-43.83302251689488,29082.0,161549876.10118058,52259620.28878356,534.0,103.64479091673284
204120,189,1080,-47.73685519543676,33392.0,179578892.58399758,58087809.787134536,586.0,121.3951388928826
205200,190,1080,-43.2888905799646,28588.0,168294185.0249849,54431880.22834835,558.0,104.16637395264753
206280,191,1080,-42.31968592738362,27478.0,167960831.795413,54325588.85010476,553.0,98.26945429719056
207360,192,1080,-55.29768348849562,46040.0,204784677.54765025,66259226.036356956,539.0,154.51801500300792
208440,193,1080,-41.10017136557799,26722.0,162324512.4837583,52501940.071216226,534.0,94.77082028831077
209520,194,1080,-614.327976103932,809202.0,1329846852.2053955,430652459.70961607,298.0,2740.750319304153
210600,195,1080,-49.409363853091676,40166.0,190963810.94155428,61783664.775814705,547.0,135.12318404657123
211680,196,1080,-42.95670133760326,31496.0,170608582.16894856,55187561.38618171,562.0,108.89967790752505
212760,197,1080,-40.98324839674313,28058.0,163448941.1884918,52870663.618736476,573.0,99.88188914587798
213840,198,1080,-44.88463358390806,31770.0,175427187.17976427,56741608.48857796,540.0,111.36567970223037
214920,199,1080,-40.27516085279137,27946.0,167141774.5258608,54055899.27818704,579.0,98.26748011523033
216000,200,1080,-45.466343366338755,34222.0,179132360.39590245,57941917.45355686,571.0,120.0034356051596
217080,201,1080,-40.27813436298331,27110.0,163084775.8611288,52754649.50463664,575.0,93.77776642924583
218160,202,1080,-47.54478610628179,36590.0,184493502.04362643,59678375.962631926,531.0,127.83628086101757
219240,203,1080,-45.348143820210325,33762.0,177190167.85934737,57314947.64270013,567.0,122.33010974409359
220320,204,1080,-41.18781923676736,28942.0,163482831.6917145,52888904.40790825,560.0,103.68190452423168
221400,205,1080,-37.350900211756226,25384.0,153462307.51662353,49648478.07010637,594.0,91.22281796970174
222480,206,1080,-38.05285482412174,26658.0,160987837.48097882,52071992.52525517,569.0,94.08262095450213
223560,207,1080,-61.66973927592716,55988.0,226776447.99077776,73377546.34106955,583.0,192.364029252577
224640,208,1080,-168.9736546963233,200742.0,445316806.3082276,144131471.9148063,481.0,681.836291514865
225720,209,1080,-39.15390360220755,27628.0,159026674.14974448,51445270.365746185,590.0,99.13563775783194
226800,210,1080,-39.71669618308201,28018.0,165104853.4912453,53398843.969796695,591.0,101.27262263059622
227880,211,1080,-41.69505074741966,30894.0,166745428.7426631,53946883.55497817,558.0,108.88969239655022
228960,212,1080,-48.893555945012835,38994.0,187749779.27264705,60737590.951279774,532.0,137.32205785429926
230040,213,1080,-40.16946956419692,29246.0,164977398.30247355,53370139.99513449,579.0,101.06723999994747
231120,214,1080,-40.31993440599485,29234.0,164719520.6894501,53286704.80211997,568.0,104.56257043252587
232200,215,1080,-47.66640748421059,39906.0,185875654.46876317,60141007.463076465,553.0,133.56228775906433
233280,216,1080,-48.55202452183886,36912.0,185661097.55207595,60059263.45993484,553.0,131.8392194483291
234360,217,1080,-44.643739557383824,35136.0,175041445.67879695,56628410.918654844,561.0,121.38331226951175
235440,218,1080,-42.35968706120158,29138.0,163624451.84878048,52925639.61925215,535.0,106.90049642067329
236520,219,1080,-43.92502271429314,31556.0,172673468.67691368,55858570.571640186,561.0,112.73833740840965
237600,220,1080,-47.24344493185015,34982.0,176298929.2112799,57035659.61316906,574.0,125.23106654079079
238680,221,1080,-49.97443286514104,37788.0,185085666.35667533,59877498.13243559,555.0,136.82485328743178
239760,222,1080,-43.44129782807471,29686.0,170989362.15282768,55307021.318545386,540.0,108.59846500164967
240840,223,1080,-42.01071249211176,28766.0,167827451.85842383,54287228.55468196,564.0,99.57366905012505
241920,224,1080,-55.375553292859294,46874.0,210795681.4065383,68192166.54641683,580.0,158.31134526979815
243000,225,1080,-40.746077309916046,26966.0,161205706.22049046,52140811.40769449,569.0,98.84923196622671
244080,226,1080,-39.880339999445304,26730.0,163825717.29321232,52982814.45983211,592.0,93.06000738528009
245160,227,1080,-40.461645795588915,27656.0,168776158.84517476,54584685.226445094,559.0,95.28281758031308
246240,228,1080,-42.73084831842811,29422.0,169967368.18548408,54973423.55327797,573.0,103.94104258233445
247320,229,1080,-40.80648271733556,27940.0,163832678.8975725,52998992.53254021,581.0,96.78199383490131
248400,230,1080,-42.39634183258269,30866.0,170018273.49889606,54996249.868461266,573.0,108.24127371556432
249480,231,1080,-63.98941635320415,62238.0,241825062.4431962,78250966.59307155,548.0,198.5715494875827
250560,232,1080,-46.48297081361808,35230.0,176931431.8267593,57235689.97425821,523.0,121.94621326697735
251640,233,1080,-42.77877281563215,32292.0,174128726.59627444,56323027.54195221,588.0,114.22304515874953
252720,234,1080,-43.63813486928646,33930.0,175862439.0086461,56893691.50014404,555.0,117.35971357808437
253800,235,1080,-41.71379254871995,31186.0,169854447.9657789,54947870.247743905,572.0,108.88100182065213
254880,236,1080,-41.7780007393669,29762.0,167353140.1711468,54131382.11317065,538.0,108.17018004034855
255960,237,1080,-39.437470141862136,28198.0,159075134.00199467,51462428.50176166,589.0,101.25631391981938
257040,238,1080,-38.83383943738187,25878.0,157620626.91418198,50983961.30299918,580.0,92.55555044834387
258120,239,1080,-49.181942156913834,40916.0,181540177.13424525,58738979.297357835,551.0,136.86148142906163
259200,240,1080,-48.80771172661686,38244.0,188353034.66557556,60927641.63428197,541.0,134.4273393469206
260280,241,1080,-42.9468153140462,29838.0,170817370.50002277,55249299.92539299,538.0,105.69984539375533
261360,242,1080,-39.705884728477486,26968.0,162295941.8767211,52494944.93384315,575.0,95.19076447055694
262440,243,1080,-45.76881080272831,31380.0,175934059.1373589,56904525.754762135,549.0,112.10515161003475
263520,244,1080,-47.518223993244035,37116.0,184076465.38926774,59547115.502184205,586.0,128.80694357429843
264600,245,1080,-43.78565441866334,30754.0,173278466.88347405,56047706.29764153,549.0,108.70339051169584
265680,246,1080,-44.20818704666452,32966.0,173965711.8008143,56283991.7974757,555.0,114.75448816441396
266760,247,1080,-42.83490951728632,29388.0,167538255.83883348,54188530.0898216,545.0,104.12060044947448
267840,248,1080,-46.23137203878173,33576.0,180814399.91767406,58481363.80975921,538.0,118.14827712720444
268920,249,1080,-45.57552947140632,36236.0,185179119.656486,59899686.95014955,610.0,126.8193192874216
270000,250,1080,-41.378008782742185,29162.0,164894919.90108672,53339464.82964605,538.0,103.43276204631552
271080,251,1080,-42.24113034433496,31096.0,169508446.86646825,54840082.37117404,542.0,106.19710785911236
272160,252,1080,-39.206191311736305,26128.0,157304259.357879,50886690.59918484,535.0,91.12542687951772
273240,253,1080,-46.74393379693571,35776.0,184881937.65549564,59802801.72097891,548.0,122.9955487589428
274320,254,1080,-45.202728848653095,34054.0,171027961.41544273,55322632.10720823,546.0,119.36117422226253
275400,255,1080,-39.910564841795505,27820.0,164117167.3621946,53084556.34239234,577.0,96.43716587677505
276480,256,1080,-57.730337235739235,48284.0,215013520.64436612,69554445.06279159,552.0,167.11317177392036
277560,257,1080,-47.82993825320156,35848.0,183541270.1865903,59372279.34113082,569.0,124.56854365387028
278640,258,1080,-46.02042468960258,36782.0,182744602.3793971,59119861.61158137,604.0,122.32356200024125
279720,259,1080,-41.628067941031034,27362.0,165057055.8973764,53381436.902657695,572.0,97.3619060860227
280800,260,1080,-42.68411394972746,29918.0,171028999.31652388,55318411.33240107,597.0,107.85487806304104
281880,261,1080,-50.97716279091689,40436.0,195388414.8532848,63207968.344304234,566.0,140.1721549569947
282960,262,1080,-45.22899736918339,33276.0,177657471.51670524,57453805.83145403,519.0,113.58372286778388
284040,263,1080,-43.0292339318758,28904.0,168176401.7347509,54392932.519429624,535.0,102.47377414979505
285120,264,1080,-45.82301521117682,34278.0,179181888.98773193,57960710.24922356,560.0,115.40546605795852
286200,265,1080,-52.35730288637643,39870.0,199136934.7448108,64411822.92974514,575.0,140.55492340626225
287280,266,1080,-40.8742929788839,28434.0,168958822.84173468,54650853.40168398,574.0,98.94472410299835
288360,267,1080,-43.39194491357263,31882.0,173261521.7922803,56055541.102683485,535.0,106.65655576228102
289440,268,1080,-57.21657280050963,51476.0,211399608.60176536,68409329.26306249,559.0,163.64441713310103
290520,269,1080,-45.787688750844126,35962.0,182987047.3542167,59186611.859496586,588.0,123.43679935246817
291600,270,1080,-49.662277173338744,42588.0,193379481.263727,62566909.81056251,575.0,143.18251345209632
292680,271,1080,-42.599318080187814,33780.0,179558734.21213564,58084106.88460251,589.0,111.60498356960919
293760,272,1080,-43.991520016093716,31776.0,172691085.16279596,55865363.82812212,533.0,109.19651277059968
294840,273,1080,-47.96246520216238,37690.0,185759157.29415724,60094780.668313935,552.0,126.05325385523108
295920,274,1080,-48.34094710591535,39382.0,190098201.29752043,61498437.561608575,542.0,132.0476920211995
297000,275,1080,-41.92313596758002,30288.0,171578724.32050353,55494206.68925664,534.0,104.23937717017253
298080,276,1080,-52.262511668216575,43556.0,204623042.11110002,66189834.86488531,539.0,146.89120461829881
