condition,mean_travel_time_s,std_travel_time_s,mean_waiting_time_s,p95_waiting_time_s,n_trips,n_seeds
scale_0,323.2635614535858,18.479971524317833,141.87429844910469,539.0,14882.0,5
scale_0.5,300.5502686727566,26.8975619914016,124.54101289629232,466.12999999999994,14888.0,5
scale_1,371.76867627329926,27.135282068018643,184.83237692464076,756.2,14838.0,5
scale_2,348.56015514738107,40.45269856516228,163.93790150739403,638.8599999999999,14841.8,5
dropout_approach0,338.7383933369156,21.2829105330658,155.2301585169264,576.2599999999999,14888.0,5
delay_1step,358.172487909726,38.47773378357786,170.07203116603975,658.3299999999999,14888.0,5
