global_step,episode,update_idx,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,sps,lr,entropy_coef
128,0,0,-0.009225024376064539,0.1330186679959297,0.6902411222457886,0.0028916950803250076,0.00390625,-0.09154713153839111,20,0.0002999808,0.009999424
256,0,1,-0.0024091769475489853,0.15303371250629424,0.6767419457435608,0.0009942522854544222,0.0,-0.7805683612823486,26,0.00029996159999999994,0.009998848
384,0,2,-0.008097596606239677,0.13555273190140724,0.6761422991752625,0.001872612617444247,0.012109375,-11.100597381591797,21,0.00029994239999999996,0.009998272
512,0,3,-0.0031791931483894586,0.10553626492619514,0.6888586640357971,0.0011096668895334005,0.00078125,0.24440234899520874,19,0.00029992319999999997,0.009997696
640,0,4,-0.0023001716937869785,0.10976867973804474,0.6890271306037903,0.00017369349952787161,0.0,-12.242090225219727,21,0.000299904,0.00999712
768,0,5,-0.002048787591047585,0.14077815636992455,0.6802105903625488,0.0006083131884224713,0.0,-9.357300758361816,23,0.00029988479999999994,0.009996544
896,0,6,-0.00544922414701432,0.09677500277757645,0.6822365045547485,0.00028296150267124174,0.0,-8.977118492126465,24,0.00029986559999999995,0.009995968000000001
1024,0,7,-0.002479881653562188,0.08025300912559033,0.6846502840518951,0.00016346544725820422,0.0,-12.065006256103516,25,0.00029984639999999996,0.009995392
1152,1,8,-0.0037888778373599053,0.21254750490188598,0.6831606328487396,0.00014084625290706755,0.0,0.10611718893051147,27,0.0002998272,0.009994816
1280,1,9,-0.002390407957136631,4.944234728813171,0.6256686210632324,0.003973159973975271,0.024609375,0.6176699697971344,27,0.000299808,0.00999424
1408,1,10,0.037587013095617294,10.802199506759644,0.6030336618423462,0.05153243616223335,0.11328125,-0.08592450618743896,25,0.00029978879999999994,0.009993664000000001
1536,1,11,-0.010954782739281655,1.7907890558242798,0.6311462938785553,0.0025761629338376226,0.03515625,-0.5523641109466553,24,0.00029976959999999996,0.009993088
1664,1,12,-0.004486330971121788,0.824497526884079,0.6430139482021332,0.001078564883209765,0.003125,-0.18462765216827393,21,0.00029975039999999997,0.009992512
1792,1,13,-0.015119472285732627,0.3836459249258041,0.6408260464668274,0.0053423116565682,0.048046875,-0.020923614501953125,19,0.0002997312,0.009991936
1920,1,14,-0.0026790450792759657,0.26905819922685625,0.6423273265361786,0.00232391394674778,0.006640625,-20.833498001098633,19,0.000299712,0.00999136
2048,1,15,-0.007986915484070777,0.19507979303598405,0.6306071519851685,0.0008026912342756987,0.00078125,-12.276156425476074,19,0.00029969279999999995,0.009990784
2176,2,16,-0.004527862486429513,1.1899769186973572,0.5952804803848266,0.001911556674167514,0.011328125,-0.2546663284301758,19,0.00029967359999999996,0.009990208
2304,2,17,-0.008715785015374422,0.10659095272421837,0.5161026597023011,0.0013896818738430739,0.010546875,-4.687567234039307,19,0.0002996544,0.009989632
2432,2,18,-0.012133815791457891,0.13764646425843238,0.6235009372234345,0.00393876179587096,0.045703125,-3.6487808227539062,19,0.0002996352,0.009989056
2560,2,19,-0.0065500113181769844,0.10859505012631417,0.6247030138969422,0.0012706065434031188,0.00390625,-26.99776840209961,20,0.000299616,0.009988480000000001
2688,2,20,-0.0056113168131560085,0.10013472214341164,0.6063474535942077,0.0011117478483356536,0.008984375,-6.202735424041748,20,0.00029959679999999996,0.009987904
2816,2,21,-0.011647501168772579,0.12323867604136467,0.5956184387207031,0.003122690261807293,0.028125,-2.14823055267334,21,0.00029957759999999997,0.009987328
2944,2,22,-0.004333273321390152,0.6092366099357605,0.5145498096942902,0.003535473719239235,0.03359375,-0.7987978458404541,21,0.0002995584,0.009986752
3072,2,23,-0.004014861630275845,0.1010887123644352,0.556597912311554,0.0004587258095853031,0.001953125,-4.3701863288879395,22,0.0002995392,0.009986176
3200,2,24,-0.009778686985373496,0.4097521662712097,0.5747720658779144,0.004672650550492108,0.058203125,-0.5629256963729858,22,0.00029951999999999995,0.0099856
3328,3,25,-0.005166079965420067,1.0780687928199768,0.5561883449554443,0.0009696108289062976,0.00234375,-0.04909825325012207,23,0.00029950079999999996,0.009985024
3456,3,26,-0.010435318574309349,0.10294695943593979,0.6153923332691192,0.002983949810732156,0.025390625,-5.5882415771484375,23,0.0002994816,0.009984448
